Nome Completo,Nome Urna,Partido
ISABEL CRISTINA CUSTODIO,ISABEL CUSTODIO,PL
IVANI INDALECIO RABELO,IVANI RABELO,PDT
IVAN LUCAS GONCALVES,IVAN LUCAS JORNALISTA,PDT
IVONE DE FATIMA MANENTE ZANQUIM,IVONE ZANQUIM,PL
IZILDINHA APARECIDA MONTANHEIRO,IZILDINHA DA PROHAB,PTB
JADER PAULO FERREIRA,JADER SALGADOS,CIDADANIA
JANINE CAMILE FERREIRA BARRA,JANINE BARRA,PATRIOTA
JULIO CESAR SARRO DE CASTRO,JC,PP
PEDRO BARBOSA,JEAN CARLOS,SOLIDARIEDADE
JEREMIAS PACHE DA HORA,JEREMIAS PACHE,PDT
JESSICA DA LUZ,JESSICA LUZ,PDT
JOAO BATISTA DA SILVA,JOAO DO DEPOSITO ARACI II,PTB
JOAO FIGUEREDO MASCARENHAS,JOÃO FIGUEREDO,SOLIDARIEDADE
JOAO ROBERTO DE SOUZA,JOÃO PIRILAMPO,PDT
JOAO VITOR FERREIRA ROSA JUNIOR,JOAO VITOR ROSA,PTB
JOÃO CARLOS TEIXEIRA,JOÃOZINHO CORREDOR,PSDB
JOICE ALVES DAS FLORES,JOICE ALVES,PATRIOTA
JONATAN RICARDO CATAI,JONATAN CATAI,PSDB
JORGE NILSON ROSALINO,JORGE ROSALINO,PSDB
JOSÉ DIMAS JUNIOR,JOSÉ DIMAS,PL
JOSE MOREIRA DOS SANTOS,JOSE MOREIRA,AVANTE
JUCEMARA AGUIAR SOUSA,JUCEMARA AGUIAR,PDT
JULIA SUEKO IRIYAMA,JULIA IRIYANA,PTB
JULIANO ALVES RODRIGUES,JULIANO DO ESPETINHO,PTB
JULIO CESAR GHIDINI,JULIÃO,PL
RICARDO FEHR CAMARGO,KAKA FEHR,PTB
KAROL CRISTINA MENDONÃ‡A PEDRO,KAROL PEDRO,PSDB
ADRIANO RODRIGUES DE MOURA,KEBEC,PT
KEITE DIAS DE CARVALHO,KEITE MARRONE,AVANTE
KILZA KELLY SANTOS,KILZA KELLY,PSDB
LAIDE DAS GRAÇAS SIMOES,LAIDE DA UIPA,PSDB
LANDERSON APARECIDO BATISTA,LANDERSON BATATA,PT
RONALDO JOSE LANCHI,LANG PIZZAS,AVANTE
EDILEUZA REGINA BRAGA,LEUZA BRAGA HEMODIÃLISE,PL
LILIANE MARIA DA SILVA PAES,LILI PAES,CIDADANIA
LUIZ ANTONIO NAVARRO MAGALHAES LUZ,LINEU NAVARRO,PT
LOANDA DE JESUS MATADO,LOANDA MATADO,SOLIDARIEDADE
ELIANA DO CARMO FRANCISCO,LOCUTORA ELIANA CASANOVA,CIDADANIA
LUCIANE AKEMI SATO,LUCIANE SATO,SOLIDARIEDADE
LUCIANO APARECIDO DA SILVEIRA,LUCIANO NENE,PP
LUCIANO ARLINDO CALDEIRA RODRIGUES,LUCIANO PORTUGAS,PP
LUCINDO GONÇALVES DA SILVA,LUCIO DA SILVA,PDT
LUIS FERNANDO ANGELOTTI,LUIS ANGELOTTI CHINA,CIDADANIA
LUIS FERNANDO LAZARINI,LUIS LAZARINI,PATRIOTA
MARIA LUCELIA MAGRI,LÚ MAGRI,SOLIDARIEDADE
MAIKON WILLIAM ALVES,MAIKON ALVES,PATRIOTA
ALEKSANDER FERNANDES VIEIRA,MALABIM,PTB
MARIA LUCIA MIRANDA,MALU MIRANDA,AVANTE
MARCAL CORREA RIBEIRO,MARÇAL,PP
ANTONIO MARCOS DE OLIVEIRA,MARCAO DO POVO,PTB
MARCO ANTONIO SOARES,MARCAO FURACAO,AVANTE
MARCELO DONIZETE MORENO,MARCELO MORENO,PSDB
MARCIO MIGUEL PASQUALI,MARCINHO,PL
MARCIO ROGERIO GARCIA NEVES,MARCIO NEVES,PL
MARCOS DORIVAL MARTINS,MARCOS DORIVAL,AVANTE
MARCOS ALBERTO DOS SANTOS,MARCOS ROUDINI,PP
MARCOS MARCEL APARECIDO DO RIO,MARCOS TCHULA,CIDADANIA
MARIA JESUS MARTINS,MARIA MANICURE,CIDADANIA
MARIANGELA APARECIDA REGATIERI ALVES,MARIANGELA REGATIERI,SOLIDARIEDADE
MARIA PASCOALINA SABBATINO,MARIA PASCOALINA,PP
MARILDA APARECIDA ALVES,MARILDA PLANTAS,CIDADANIA
MARILIA MASSEI PORTO,MARILIA MASSEI PORTO,PP
MARISTELA DE CASTRO ALBUQUERQUE OLIVEIRA,MARISTELA ALBUQUERQUE,SOLIDARIEDADE
MARLENE FERREIRA,MARLENE FERREIRA,PTB
MARCO ANTÔNIO AMARAL,MARQUINHO AMARAL,PSDB
MARCOS ANTONIO DE THOMAZO,MARQUINHO CHIREIA,PL
MATHEUS AUGUSTO DE OLIVEIRA,MATHEUS OLIVEIRA,PTB
JOSE MAURICIO ORTEGA,MAURICIO ORTEGA,SOLIDARIEDADE
JOSE MAURO FRANCA,MAURINHO FRANÇA,PDT
MAYKE MARCOLINO,MAYKE MARCOLINO,PT
ROSIMEIRE DE SOUZA REZENDE DIAS,MEIRE DIAS,CIDADANIA
MÉLANY RAPHAELLI MARCHETTI CORDEIRO,MÉLANI MARCHETTI,PSDB
MELISSA LIMA DO AMARAL,MELISSA GUERREIRO,PATRIOTA
PAULO HENRIQUE EVANGELISTA,MEU NOME E PAULO,PP
VALDEMIR DONIZETE NATAL TASSI,MIL_TASSI,CIDADANIA
MILTON BALDAN,MILTON BALDAN,PDT
FRANCISCO ROSA CAMELO,MINEIRO GARAPEIRO,CIDADANIA
RUTE MARIA DE OLIVEIRA ALVES,MISSIONARIA RUTINHA,PTB
EDSON ROBERTO DE PAULA,NANAO DE PAULA,PP
NATAN HENRIQUE CARBONI,NATAN CARBONI,PL
ANA ALICE GULLO MONTEIRO NEO,NECA GULLO,PTB
EDINEIA ALVES DOS SANTOS,NEIA,CIDADANIA
VALDINEI ANTONIO NICOMEDES,NEI NICOMEDES,PDT
NELSON PEREIRA RAMOS,NELSINHO PEREIRA,PSDB
NELSON FRANCISCO TEMPLE BERGONSO,NELSON BERGONSO,SOLIDARIEDADE
NIVALDO JESUS DA COSTA,NIVALDO MUDANCAS,PTB
OLiVIO APARECIDO RODRIGUES DA CUNHA,OLIVIO MOTOBOY,PL
ORAIDE APARECIDA FELICIO,ORAIDE FELICIO,SOLIDARIEDADE
OZIEL ROBERTO CAVALCANTE DE ALBUQUERQUE,OZIEL BOMBEIRO,PATRIOTA
VIVIANE ANTONIO PACHECO ALBANO,PASTORA VIVIANE PACHECO,PP
DANIEL ARLINDO PIRES,PASTOR DANIEL PIRES,SOLIDARIEDADE
PATRICIA PEREZ DIAS FORMIGONI,PATRICIA FORMIGONI,PP
PATROCINIO RAMOS DA CRUZ NETO,PATROCINIO RAMOS CAUSA NINAL,PP
PAULO SERGIO BATISTA,PAULINHO BATISTA,AVANTE
PAULO ROQUE DA SILVA JUNIOR,PAULINHO CDHU,CIDADANIA
PAULO FRANCISCO DA SILVA,PAULINHO SILVA,PDT
PAULO SERGIO ZAMBON,PAULINHO ZAMBON,PP
PAULO BARBOSA DA SILVA,PAULLUS LANCHES,PL
PAULO ROBERTO CAETANO,PAULO CAETANO,PSDB
PAULO CESAR DE MORAES,PAULO CESAR BUIU,PP
PAULO FERNANDO TAU,PAULO ITAÚ,PL
PAULO JOSÉ PENALVA MANCINI,PAULO MANCINI EM MUTIRÃO,PT
PAULO JOSE SANTOS SCALLI,PAULO SCALLI,PTB
PEDRO MAXIMO DINIZ,PEDRO DINIZ,SOLIDARIEDADE
PEDRO SEBASTIAO DE MORAES,PEDRO MORAES,PDT
